ui_first_person_field_of_view|Látómező (1. személy)
ui_third_person_field_of_view|Látómező (3. személy)
ui_banner_mode|Zászlók megjelenítése
ui_banner_outline_mode|Zászló körvonalak megjelenítése
ui_dynamic_banner_transparency|Dinamikus zászló átlátszóság
ui_on_group|Csoporton
ui_on_friendlies|Szövetségeseken
ui_on_everyone|Mindenkin
ui_show_multiplayer_chat|Csevegés megjelenítése
ui_show_multiplayer_team_chat|Csapat csevegés megjelenítése
ui_difficulty_rating_percentage|Nehézség = %d%%
ui_general_options|Általános
ui_battle_options|Csata
ui_campaign_options|Hadjárat
ui_multiplayer_options|Többjátékos
ui_video_options|Grafika
ui_sound_options|Hang
ui_input_options|Bevitel
ui_edit_mode_options|Szerkesztő mód
ui_maximum_framerate|Maximális képkockaszám
ui_show_framerate_wse2|Képkockaszám megjelenítése
ui_show_render_stats_wse2|Renderelési statisztika megjelenítése
ui_show_simulation_stats_wse2|Szimulációs statisztika megjelenítése
ui_estimated_performance|Teljesítmény = %d%%
ui_change_reflections_explanation|A teljes tükröződések erőforrás-igényesek. Kapcsold ki, ha alacsony a képkockaszámod.
ui_report_proficiency|Jártasság jelentés
ui_abysmal|Szörnyű
ui_clear|Törlés
ui_walk|Séta
ui_walk_toggle|Séta (váltás)
ui_rear_horse|Ló ágaskodás
ui_hide_ui|Felület megjelenítésének váltása
ui_hide_tooltips|Eszköztippek megjelenítésének váltása
ui_listen_server_could_not_be_started|A szerver nem indítható el. Győződj meg róla, hogy más program nem használja a %d portot.
ui_water_reflections|Víztükröződések
ui_reflections_quality|Víztükröződések minősége
ui_sky|Égbolt
ui_sky_landscape_objects|Égbolt, táj és objektumok
ui_sound_occlusion|Hang elzáródás
ui_sound_occlusion_filter|Elzáródás aluláteresztő szűrő
ui_sound_hrtf_filter|HRTF aluláteresztő szűrő
ui_sound_distance_filter|Távolság alul-/felüláteresztő szűrő
ui_scene_restart_required|Egyes beállítások új jelenet betöltésekor lépnek érvénybe:
ui_game_restart_required|Egyes beállítások a játék újraindításakor lépnek érvénybe:
ui_weapon_trails|Fegyvernyomok
ui_windowed|Ablakos mód
ui_dynamic_batching|Dinamikus háló kötegeltés
ui_free_look|Szabad nézet
ui_vsync|Függőleges szinkronizáció
ui_msaa|Élsimítás (MSAA)
ui_atoc|Átlátszóság élsimítás (MSAA)
ui_fxaa|Élsimítás (FXAA)
ui_postprocess|Utófeldolgozási szűrő
ui_postprocess_light|Enyhe élesítés
ui_postprocess_strong|Erős élesítés
ui_postprocess_color|VÉREZZEN A SZEMEM
ui_multiplayer_kills|Ölés üzenetek
ui_all_kills|Összes
ui_own|Saját
ui_player_deaths|Játékos halálok
ui_own_kills_and_player_deaths|Saját ölések és játékos halálok
ui_sun_flare|Napfény ragyogás
ui_enable_alt_f4|Kilépés engedélyezése Alt+F4-gyel
ui_invert_mouse_x_axis|Egér X tengely invertálása
ui_enable_sound|Hang engedélyezése
ui_enable_music|Zene engedélyezése
ui_toggle_background|Háttér
ui_font_scale|Betűméret
ui_messages_font_scale|Üzenetek betűmérete
ui_spectator_camera_controls|Néző kamera vezérlés
ui_faster_camera|Gyorsabb kameramozgás
ui_slower_camera|Lassabb kameramozgás
ui_camera_closer|Kamera közelebb
ui_camera_farther|Kamera távolabb
ui_particle_degrade_distance|Részecske degradálási távolság
ui_sheath_primary_weapon|Fegyver eltétele
ui_sheath_secondary_weapon|Pajzs eltétele
ui_drop_primary_weapon|Fegyver eldobása
ui_drop_secondary_weapon|Pajzs eldobása
ui_screenshot_format|Képernyőkép formátum
ui_control_block_direction|Védekezés vezérlés:
ui_control_block_direction_mounted|Lovas védekezés vezérlés:
ui_control_attack_direction|Támadás vezérlés:
ui_control_attack_direction_mounted|Lovas támadás vezérlés:
ui_preset_change|Előbeállítás változtatás
ui_blood_amount|Vér mennyiség
ui_beta|β
ui_partial|Részleges
ui_data_file_mismatch|A modul fájljai sérültek vagy módosítva lettek
ui_randomize_client_port|Véletlenszerű kliens port (ajánlott, hacsak nem tűzfal mögött vagy)
ui_client_port|Kliens port
ui_server_port|Szerver port
ui_unable_to_bind_socket|Nem lehet csatlakozni, a port már használatban van.
ui_synchronization_error|Szinkronizációs hiba
ui_dismount_horse_on_use|Leszállás a lóról használatkor
ui_maximum_game_frame_rate|Maximális játék képkockaszám
ui_autoexp|Automatikus expozíció
ui_ragdoll_soak|Ragdoll holttestek eltalálhatók
ui_ragdoll_soak_apply_force|Ragdoll holttestek mozognak találat esetén
ui_vsync_tooltip|Megelőzi a képszakadást, beviteli késleltetést okozhat\n\nTeljesítményköltség: <c=0xFF0000>Magas</c>
ui_msaa_tooltip|Simítja a szilárd tárgyak szaggatott éleit\n\nTeljesítményköltség: <c=0xFF0000>Magas</c>
ui_atoc_tooltip|Simítja a félig átlátszó tárgyak szaggatott éleit\n\nTeljesítményköltség: <c=0x00FF00>Alacsony</c>
ui_fxaa_tooltip|Simítja a szaggatott éleket, jelentősen elmosódottá teszi a képet\n\nTeljesítményköltség: <c=0xFFAA00>Közepes</c>
ui_anisotropic_filtering_tooltip|Csökkenti a távoli felületek elmosódottságát\n\nTeljesítményköltség: <c=0xFFAA00>Közepes</c>
ui_sound_occlusion_tooltip|Utánozza a hangok érzékelését zárt környezetben, vagyis ahol akadályok vannak a hangforrás vagy a hallgató közelében\n\nTeljesítményköltség: <c=0xFF0000>Magas</c>
ui_show_render_stats_wse2_tooltip|Képkockánkénti renderelési számlálókat mutat: rajzolási hívások, látható objektumok, CPU- és GPU-skinning, árnyékok és szálidők\n\nTeljesítményköltség: <c=0x00FF00>Alacsony</c>
ui_show_simulation_stats_wse2_tooltip|Megmutatja, mire megy el egy szimulációs lépés: fizika, ágensek, MI, eseményindítók, jelenet, hálózat és szkripthívások\n\nTeljesítményköltség: <c=0x00FF00>Alacsony</c>
ui_update_wse2_version|Kérjük, frissítsd a WSE2 verziódat, különben kirúgnak erről a szerverről.
ui_server_for_wse2_campaign|Ez a szerver egy online hadjárathoz készült WSE2-n. Kérjük, indítsd el a WSE2-t és válaszd a „Csatlakozás hadjárathoz" opciót.
ui_server_for_standart_game_modes|Ez a szerver normál játékmódokhoz készült, kérjük válaszd a „Csatlakozás játékhoz" opciót.
ui_enable_cheats_wse2|Csalások engedélyezése
ui_enable_edit_mode_wse2|Szerkesztő mód engedélyezése (Figyelem: lassítja a játékot.)
ui_language_wse2|Nyelv:
ui_ondemand_textures_wse2|Textúrák igény szerinti betöltése
ui_map_editor|Térkép szerkesztő
ui_terrain_editor|Terep szerkesztő
ui_debug|Debug
ui_restore_module_data|Modul adatok visszaállítása
ui_reload_ui_variables|UI változók újratöltése
ui_set_lod_quality|LOD minőség beállítása
ui_auto|Automatikus
ui_freeze|Befagyasztás
ui_create_language_template|Nyelvi sablon létrehozása
ui_mark_nontranslated_lines|Lefordítatlan sorok jelölése
ui_create_language_template_required_game|Hozz létre új játékot vagy állíts vissza egyet a funkció használata előtt!
ui_create_language_template_generated|Nyelvi sablon fájlok létrehozva a new_language könyvtárban!
ui_create_language_template_generated_marked|Nyelvi sablon fájlok létrehozva a new_language könyvtárban! A lefordítatlan szövegek {***} jellel vannak megjelölve. Ezt keresési kulcsszóként használhatod.
ui_join_campaign|Csatlakozás hadjárathoz
ui_custom_key_1|
ui_custom_key_2|
ui_custom_key_3|
ui_custom_key_4|
ui_custom_key_5|
ui_custom_key_6|
ui_custom_key_7|
ui_custom_key_8|
ui_custom_key_9|
ui_custom_key_10|
ui_custom_key_11|
ui_custom_key_12|
ui_custom_key_13|
ui_custom_key_14|
ui_custom_key_15|
ui_custom_key_16|
ui_custom_key_17|
ui_custom_key_18|
ui_custom_key_19|
ui_custom_key_20|
