ui_first_person_field_of_view|Zorné pole (1. osoba)
ui_third_person_field_of_view|Zorné pole (3. osoba)
ui_banner_mode|Zobrazit prapory
ui_banner_outline_mode|Zobrazit obrysy praporů
ui_dynamic_banner_transparency|Dynamická průhlednost praporů
ui_on_group|Na skupině
ui_on_friendlies|Na spojencích
ui_on_everyone|Na všech
ui_show_multiplayer_chat|Zobrazit chat
ui_show_multiplayer_team_chat|Zobrazit týmový chat
ui_difficulty_rating_percentage|Obtížnost = %d%%
ui_general_options|Obecné
ui_battle_options|Bitva
ui_campaign_options|Kampaň
ui_multiplayer_options|Hra více hráčů
ui_video_options|Grafika
ui_sound_options|Zvuk
ui_input_options|Ovládání
ui_edit_mode_options|Režim úprav
ui_maximum_framerate|Maximální snímková frekvence
ui_show_framerate_wse2|Zobrazit snímkovou frekvenci
ui_show_render_stats_wse2|Zobrazit statistiky vykreslování
ui_show_simulation_stats_wse2|Zobrazit statistiky simulace
ui_estimated_performance|Výkon = %d%%
ui_change_reflections_explanation|Plné odrazy jsou náročné na výkon. Vypněte je, pokud máte nízkou snímkovou frekvenci.
ui_report_proficiency|Hlášení zručnosti
ui_abysmal|Příšerné
ui_clear|Vymazat
ui_walk|Chůze
ui_walk_toggle|Chůze (přepínání)
ui_rear_horse|Vzepjat koně
ui_hide_ui|Přepnout zobrazení rozhraní
ui_hide_tooltips|Přepnout zobrazení nápověd
ui_listen_server_could_not_be_started|Server se nepodařilo spustit. Ujistěte se, že žádný jiný program nepoužívá port %d.
ui_water_reflections|Odrazy na vodě
ui_reflections_quality|Kvalita odrazů na vodě
ui_sky|Obloha
ui_sky_landscape_objects|Obloha, krajina a objekty
ui_sound_occlusion|Okluze zvuku
ui_sound_occlusion_filter|Okluzní dolní propust
ui_sound_hrtf_filter|HRTF dolní propust
ui_sound_distance_filter|Vzdálenostní dolní/horní propust
ui_scene_restart_required|Některá nastavení budou použita při vstupu do nové scény:
ui_game_restart_required|Některá nastavení budou použita při restartu hry:
ui_weapon_trails|Stopy zbraní
ui_windowed|V okně
ui_dynamic_batching|Dynamické seskupování meshů
ui_free_look|Volný pohled
ui_vsync|Vertikální synchronizace
ui_msaa|Vyhlazování (MSAA)
ui_atoc|Vyhlazování průhlednosti (MSAA)
ui_fxaa|Vyhlazování (FXAA)
ui_postprocess|Filtr postprocessingu
ui_postprocess_light|Lehké doostření
ui_postprocess_strong|Silné doostření
ui_postprocess_color|AŤ MI KRVÁCÍ OČI
ui_multiplayer_kills|Zprávy o zabití
ui_all_kills|Všechny
ui_own|Vlastní
ui_player_deaths|Smrti hráčů
ui_own_kills_and_player_deaths|Vlastní zabití a smrti hráčů
ui_sun_flare|Sluneční záře
ui_enable_alt_f4|Povolit ukončení Alt+F4
ui_invert_mouse_x_axis|Invertovat osu X myši
ui_enable_sound|Povolit zvuk
ui_enable_music|Povolit hudbu
ui_toggle_background|Pozadí
ui_font_scale|Velikost písma
ui_messages_font_scale|Velikost písma zpráv
ui_spectator_camera_controls|Ovládání kamery diváka
ui_faster_camera|Rychlejší pohyb kamery
ui_slower_camera|Pomalejší pohyb kamery
ui_camera_closer|Přiblížit kameru
ui_camera_farther|Oddálit kameru
ui_particle_degrade_distance|Vzdálenost degradace částic
ui_sheath_primary_weapon|Uschovat zbraň
ui_sheath_secondary_weapon|Uschovat štít
ui_drop_primary_weapon|Zahodit zbraň
ui_drop_secondary_weapon|Zahodit štít
ui_screenshot_format|Formát snímků obrazovky
ui_control_block_direction|Ovládání bloku:
ui_control_block_direction_mounted|Ovládání bloku na koni:
ui_control_attack_direction|Ovládání útoku:
ui_control_attack_direction_mounted|Ovládání útoku na koni:
ui_preset_change|Změna předvolby
ui_blood_amount|Množství krve
ui_beta|β
ui_partial|Částečně
