ui_first_person_field_of_view|Görüş Alanı (1. Şahıs)
ui_third_person_field_of_view|Görüş Alanı (3. Şahıs)
ui_banner_mode|Bayrakları Göster
ui_banner_outline_mode|Bayrak Dış Hatlarını Göster
ui_dynamic_banner_transparency|Dinamik Bayrak Saydamlığı
ui_on_group|Grupta
ui_on_friendlies|Dostlarda
ui_on_everyone|Herkeste
ui_show_multiplayer_chat|Sohbeti Göster
ui_show_multiplayer_team_chat|Takım Sohbetini Göster
ui_difficulty_rating_percentage|Zorluk = %%d%%
ui_general_options|Genel
ui_battle_options|Savaş
ui_campaign_options|Sefer
ui_multiplayer_options|Çok Oyunculu
ui_video_options|Grafik
ui_sound_options|Ses
ui_input_options|Giriş
ui_edit_mode_options|Düzenleme Modu
ui_maximum_framerate|Maksimum Kare Hızı
ui_show_framerate_wse2|Kare Hızını Göster
ui_show_render_stats_wse2|Render İstatistiklerini Göster
ui_show_simulation_stats_wse2|Simülasyon İstatistiklerini Göster
ui_estimated_performance|Performans = %d%%
ui_change_reflections_explanation|Tam yansımalar performansı olumsuz etkiler. Düşük kare hızı yaşıyorsanız devre dışı bırakın.
ui_report_proficiency|Yetkinliği Raporla
ui_abysmal|Berbat
ui_clear|Temizle
ui_walk|Yürü
ui_walk_toggle|Yürü (Geçiş)
ui_rear_horse|Atı Şahlandır
ui_hide_ui|Arayüz Görünümünü Aç/Kapat
ui_hide_tooltips|İpucu Görünümünü Aç/Kapat
ui_listen_server_could_not_be_started|Dinleme sunucusu başlatılamadı. %d numaralı bağlantı noktasını başka bir programın kullanmadığından emin olun.
ui_water_reflections|Su Yansımaları
ui_reflections_quality|Su Yansımaları Kalitesi
ui_sky|Gökyüzü
ui_sky_landscape_objects|Gökyüzü, Manzara ve Nesneler
ui_sound_occlusion|Ses Engellemesi
ui_sound_occlusion_filter|Engelleme Alçak Geçişli Filtre
ui_sound_hrtf_filter|HRTF Alçak Geçişli Filtre
ui_sound_distance_filter|Mesafe Alçak/Yüksek Geçişli Filtre
ui_scene_restart_required|Bazı ayarlar yeni bir sahneye girdiğinizde uygulanacak:
ui_game_restart_required|Bazı ayarlar oyunu yeniden başlattığınızda uygulanacak:
ui_weapon_trails|Silah İzleri
ui_windowed|Pencereli
ui_dynamic_batching|Dinamik Model Yığınlama
ui_free_look|Serbest Bakış
ui_vsync|Dikey Senkronizasyon
ui_msaa|Kenar Yumuşatma (MSAA)
ui_atoc|Saydamlık Kenar Yumuşatma (MSAA)
ui_fxaa|Kenar Yumuşatma (FXAA)
ui_postprocess|Görüntü Sonrası İşleme Filtresi
ui_postprocess_light|Hafif Keskinleştirme
ui_postprocess_strong|Güçlü Keskinleştirme
ui_postprocess_color|GÖZLERİMİ YAK
ui_multiplayer_kills|Öldürme Mesajları
ui_all_kills|Tümü
ui_own|Kendininkiler
ui_player_deaths|Oyuncu Ölümleri
